PROTEIN_NAME	LOCUS	GENE_CONTIG	PFAM_ACC	PFAM_NAME	PFAM_DESCRIPTION	PFAM_START	PFAM_STOP	LENGTH	PFAM_SCORE	PFAM_EXPECTED
two component system sensor kinase mprB	Rv0982	Mycobacterium tuberculosis H37Rv complete genome.	PF02518.18	HATPase_c	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	1098558	1098902	345	115.0	2.099999969043442E-31
two component system sensor kinase mprB	Rv0982	Mycobacterium tuberculosis H37Rv complete genome.	PF00512.17	HisKA	His Kinase A (phosphoacceptor) domain	1098222	1098440	219	62.5	1.3999999839026675E-15
two component system sensor kinase mprB	Rv0982	Mycobacterium tuberculosis H37Rv complete genome.	PF00672.17	HAMP	HAMP domain	1098003	1098212	210	67.5999984741211	3.999999935100636E-17
serine protease pepD	Rv0983	Mycobacterium tuberculosis H37Rv complete genome.	PF00595.16	PDZ	PDZ domain (Also known as DHR or GLGF)	1100167	1100403	237	17.899999618530273	0.009999999776482582
serine protease pepD	Rv0983	Mycobacterium tuberculosis H37Rv complete genome.	PF00089.19	Trypsin	Trypsin	1099531	1100157	627	52.6	3.5E-14
serine protease pepD	Rv0983	Mycobacterium tuberculosis H37Rv complete genome.	PF00089.18	Trypsin	Trypsin	1099561	1100157	597	36.0	1.500000053056283E-7
serine protease pepD	Rv0983	Mycobacterium tuberculosis H37Rv complete genome.	PF00595.17	PDZ	PDZ domain (Also known as DHR or GLGF)	1100167	1100403	237	23.1	4.9E-5
serine protease pepD	Rv0983	Mycobacterium tuberculosis H37Rv complete genome.	PF00089.18	Trypsin	Trypsin	1099561	1100157	597	37.20000076293945	3.4000000592726565E-9
pterin-4-alpha-carbinolamine dehydratase moaB2	Rv0984	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00177	molyb_syn	molybdenum cofactor synthesis domain	1100532	1100960	429	118.05999755859375	1.000000023742228E-32
pterin-4-alpha-carbinolamine dehydratase moaB2	Rv0984	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00177	TIGR00177	molyb_syn: molybdenum cofactor synthesis domain	1100535	1100960	426	102.0	5.7E-30
pterin-4-alpha-carbinolamine dehydratase moaB2	Rv0984	Mycobacterium tuberculosis H37Rv complete genome.	PF00994.16	MoCF_biosynth	Probable molybdopterin binding domain	1100544	1100972	429	94.30000305175781	3.699999973695868E-25
pterin-4-alpha-carbinolamine dehydratase moaB2	Rv0984	Mycobacterium tuberculosis H37Rv complete genome.	PF00994.16	MoCF_biosynth	Probable molybdopterin binding domain	1100544	1100972	429	94.94999694824219	2.6999999541543866E-25
pterin-4-alpha-carbinolamine dehydratase moaB2	Rv0984	Mycobacterium tuberculosis H37Rv complete genome.	PF00994.17	MoCF_biosynth	Probable molybdopterin binding domain	1100529	1100972	444	78.0	3.5E-22
large-conductance ion mechanosensitive channel mscL	Rv0985c	Mycobacterium tuberculosis H37Rv complete genome.	PF01741.10	MscL	Large-conductance mechanosensitive channel, MscL	1101109	1101480	372	249.89999389648438	0.0
large-conductance ion mechanosensitive channel mscL	Rv0985c	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00220	TIGR00220	mscL: large conductance mechanosensitive channel protein	1101109	1101480	372	84.7	1.3E-24
large-conductance ion mechanosensitive channel mscL	Rv0985c	Mycobacterium tuberculosis H37Rv complete genome.	PF01741.10	MscL	Large-conductance mechanosensitive channel, MscL	1101109	1101480	372	249.9600067138672	0.0
large-conductance ion mechanosensitive channel mscL	Rv0985c	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00220	mscL	large conductance mechanosensitive channel protein	1101109	1101480	372	70.56999969482422	2.100000023830477E-18
large-conductance ion mechanosensitive channel mscL	Rv0985c	Mycobacterium tuberculosis H37Rv complete genome.	PF01741.11	MscL	Large-conductance mechanosensitive channel, MscL	1101109	1101480	372	140.5	2.4E-41
adhesion component transport ATP-binding protein ABC transporter	Rv0986	Mycobacterium tuberculosis H37Rv complete genome.	PF00005.20	ABC_tran	ABC transporter	1101950	1102327	378	88.6	2.8E-25
adhesion component transport ATP-binding protein ABC transporter	Rv0986	Mycobacterium tuberculosis H37Rv complete genome.	PF03193.9	DUF258	Protein of unknown function, DUF258	1101818	1102087	270	27.1	1.5E-6
adhesion component transport ATP-binding protein ABC transporter	Rv0986	Mycobacterium tuberculosis H37Rv complete genome.	PF00005.19	ABC_tran	ABC transporter	1101908	1102468	561	209.88999938964844	0.0
adhesion component transport ATP-binding protein ABC transporter	Rv0986	Mycobacterium tuberculosis H37Rv complete genome.	PF00005.19	ABC_tran	ABC transporter	1101908	1102468	561	209.3000030517578	0.0
adhesion component transport transmembrane protein ABC transporter	Rv0987	Mycobacterium tuberculosis H37Rv complete genome.	PF02687.14	FtsX	Predicted permease	1104558	1105085	528	145.0	1.1E-42
adhesion component transport transmembrane protein ABC transporter	Rv0987	Mycobacterium tuberculosis H37Rv complete genome.	PF02687.13	FtsX	Predicted permease	1104714	1105085	372	168.4499969482422	0.0
adhesion component transport transmembrane protein ABC transporter	Rv0987	Mycobacterium tuberculosis H37Rv complete genome.	PF02687.13	FtsX	Predicted permease	1103319	1103705	387	168.4499969482422	0.0
adhesion component transport transmembrane protein ABC transporter	Rv0987	Mycobacterium tuberculosis H37Rv complete genome.	PF02687.13	FtsX	Predicted permease	1104558	1105085	528	114.5	3.0000000565330046E-31
adhesion component transport transmembrane protein ABC transporter	Rv0987	Mycobacterium tuberculosis H37Rv complete genome.	PF02687.13	FtsX	Predicted permease	1103181	1103705	525	134.39999389648438	2.999999973292737E-37
adhesion component transport transmembrane protein ABC transporter	Rv0987	Mycobacterium tuberculosis H37Rv complete genome.	PF02687.14	FtsX	Predicted permease	1103184	1103705	522	145.0	1.1E-42
hypothetical exported protein	Rv0988	Mycobacterium tuberculosis H37Rv complete genome.	PF09410.2	DUF2006	Proteins of unknown function (DUF2006)	1105257	1106258	1002	537.25	0.0
hypothetical exported protein	Rv0988	Mycobacterium tuberculosis H37Rv complete genome.	PF07143.4	CrtC	Hydroxyneurosporene synthase (CrtC)	1105326	1106258	933	293.5	1.5E-87
polyprenyl-diphosphate synthase grcC2	Rv0989c	Mycobacterium tuberculosis H37Rv complete genome.	PF00348.9	polyprenyl_synt	Polyprenyl synthetase	1106498	1107274	777	49.099998474121094	1.8000000361756419E-12
polyprenyl-diphosphate synthase grcC2	Rv0989c	Mycobacterium tuberculosis H37Rv complete genome.	PF00348.9	polyprenyl_synt	Polyprenyl synthetase	1106498	1107274	777	49.040000915527344	2.100000078344988E-12
polyprenyl-diphosphate synthase grcC2	Rv0989c	Mycobacterium tuberculosis H37Rv complete genome.	PF00348.10	polyprenyl_synt	Polyprenyl synthetase	1106555	1107271	717	111.4	2.5E-32
hypothetical protein	Rv0990c	Mycobacterium tuberculosis H37Rv complete genome.	PF08666.4	SAF	SAF domain	1107752	1107940	189	56.11000061035156	1.300000011068489E-13
hypothetical protein	Rv0990c	Mycobacterium tuberculosis H37Rv complete genome.	PF08666.5	SAF	SAF domain	1107755	1107940	186	41.0	1.5E-10
hypothetical protein	Rv0990c	Mycobacterium tuberculosis H37Rv complete genome.	PF08666.4	SAF	SAF domain	1107752	1107940	189	55.400001525878906	1.8999999327768552E-13
conserved serine rich protein	Rv0991c	Mycobacterium tuberculosis H37Rv complete genome.	TIGR02605	TIGR02605	CxxC_CxxC_SSSS: putative regulatory protein, FmdB family	1108352	1108504	153	65.2	8.5E-19
conserved serine rich protein	Rv0991c	Mycobacterium tuberculosis H37Rv complete genome.	PF09723.3	CxxC_CxxC_SSSS	Zinc ribbon domain	1108382	1108504	123	52.8	2.1E-14
conserved serine rich protein	Rv0991c	Mycobacterium tuberculosis H37Rv complete genome.	TIGR02605	CxxC_CxxC_SSSS	putative regulatory protein, FmdB family	1108352	1108504	153	83.6500015258789	2.400000125785646E-22
conserved serine rich protein	Rv0991c	Mycobacterium tuberculosis H37Rv complete genome.	PF09723.2	CxxC_CxxC_SSSS	Putative regulatory protein (CxxC_CxxC_SSSS)	1108382	1108504	123	67.36000061035156	5.499999993481436E-17
conserved hypothetical protein	Rv0992c	Mycobacterium tuberculosis H37Rv complete genome.	PF01812.12	5-FTHF_cyc-lig	5-formyltetrahydrofolate cyclo-ligase family	1108614	1109156	543	232.17999267578125	0.0
conserved hypothetical protein	Rv0992c	Mycobacterium tuberculosis H37Rv complete genome.	PF01812.12	5-FTHF_cyc-lig	5-formyltetrahydrofolate cyclo-ligase family	1108614	1109156	543	229.39999389648438	0.0
conserved hypothetical protein	Rv0992c	Mycobacterium tuberculosis H37Rv complete genome.	TIGR02727	TIGR02727	MTHFS_bact: 5-formyltetrahydrofolate cyclo-ligase	1108614	1109156	543	111.8	7.2E-33
conserved hypothetical protein	Rv0992c	Mycobacterium tuberculosis H37Rv complete genome.	PF01812.13	5-FTHF_cyc-lig	5-formyltetrahydrofolate cyclo-ligase family	1108614	1109156	543	152.5	8.3E-45
conserved hypothetical protein	Rv0992c	Mycobacterium tuberculosis H37Rv complete genome.	TIGR02727	MTHFS_bact	5-formyltetrahydrofolate cyclo-ligase	1108614	1109156	543	127.36000061035156	1.7000000162549698E-35
UTP-glucose-1-phosphate uridylyltransferase galU	Rv0993	Mycobacterium tuberculosis H37Rv complete genome.	PF00483.16	NTP_transferase	Nucleotidyl transferase	1109302	1110123	822	90.1	1.0E-25
UTP-glucose-1-phosphate uridylyltransferase galU	Rv0993	Mycobacterium tuberculosis H37Rv complete genome.	PF00483.15	NTP_transferase	Nucleotidyl transferase	1109302	1110126	825	32.970001220703125	3.000000026176508E-9
UTP-glucose-1-phosphate uridylyltransferase galU	Rv0993	Mycobacterium tuberculosis H37Rv complete genome.	PF00483.15	NTP_transferase	Nucleotidyl transferase	1109302	1110126	825	33.0	4.099999853512948E-12
molybdopterin biosynthesis protein moeA1	Rv0994	Mycobacterium tuberculosis H37Rv complete genome.	PF03454.8	MoeA_C	MoeA C-terminal region (domain IV)	1111304	1111537	234	58.9	2.9E-16
molybdopterin biosynthesis protein moeA1	Rv0994	Mycobacterium tuberculosis H37Rv complete genome.	PF00994.17	MoCF_biosynth	Probable molybdopterin binding domain	1110848	1111267	420	72.6	1.7E-20
molybdopterin biosynthesis protein moeA1	Rv0994	Mycobacterium tuberculosis H37Rv complete genome.	PF03453.10	MoeA_N	MoeA N-terminal region (domain I and II)	1110269	1110811	543	184.4	7.2E-55
molybdopterin biosynthesis protein moeA1	Rv0994	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00177	TIGR00177	molyb_syn: molybdenum cofactor synthesis domain	1110836	1111255	420	97.0	2.1E-28
molybdopterin biosynthesis protein moeA1	Rv0994	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00177	molyb_syn	molybdenum cofactor synthesis domain	1110836	1111255	420	137.3699951171875	1.6000000642288403E-38
molybdopterin biosynthesis protein moeA1	Rv0994	Mycobacterium tuberculosis H37Rv complete genome.	PF03454.7	MoeA_C	MoeA C-terminal region (domain IV)	1111304	1111537	234	81.36000061035156	3.300000097224616E-21
molybdopterin biosynthesis protein moeA1	Rv0994	Mycobacterium tuberculosis H37Rv complete genome.	PF00994.16	MoCF_biosynth	Probable molybdopterin binding domain	1110848	1111267	420	119.2699966430664	1.3000000675990949E-32
molybdopterin biosynthesis protein moeA1	Rv0994	Mycobacterium tuberculosis H37Rv complete genome.	PF03453.9	MoeA_N	MoeA N-terminal region (domain I and II)	1110269	1110811	543	205.3000030517578	0.0
molybdopterin biosynthesis protein moeA1	Rv0994	Mycobacterium tuberculosis H37Rv complete genome.	PF00994.16	MoCF_biosynth	Probable molybdopterin binding domain	1110848	1111267	420	118.80000305175781	1.6000000379875648E-32
molybdopterin biosynthesis protein moeA1	Rv0994	Mycobacterium tuberculosis H37Rv complete genome.	PF03453.9	MoeA_N	MoeA N-terminal region (domain I and II)	1110269	1110811	543	198.10000610351562	0.0
molybdopterin biosynthesis protein moeA1	Rv0994	Mycobacterium tuberculosis H37Rv complete genome.	PF03454.7	MoeA_C	MoeA C-terminal region (domain IV)	1111304	1111537	234	83.5	6.600000093475036E-22
ribosomal-protein-alanine acetyltransferase rimJ	Rv0995	Mycobacterium tuberculosis H37Rv complete genome.	PF00583.16	Acetyltransf_1	Acetyltransferase (GNAT) family	1111843	1112085	243	37.29999923706055	6.100000149444895E-8
ribosomal-protein-alanine acetyltransferase rimJ	Rv0995	Mycobacterium tuberculosis H37Rv complete genome.	PF00583.16	Acetyltransf_1	Acetyltransferase (GNAT) family	1111837	1112085	249	40.5	5.600000019256868E-9
conserved hypothetical protein	Rv0998	Mycobacterium tuberculosis H37Rv complete genome.	PF00027.21	cNMP_binding	Cyclic nucleotide-binding domain	1114859	1115128	270	64.0999984741211	4.3999999947851487E-16
conserved hypothetical protein	Rv0998	Mycobacterium tuberculosis H37Rv complete genome.	PF00583.16	Acetyltransf_1	Acetyltransferase (GNAT) family	1115375	1115617	243	21.5	0.003000000026077032
conserved hypothetical protein	Rv0998	Mycobacterium tuberculosis H37Rv complete genome.	PF00027.21	cNMP_binding	Cyclic nucleotide-binding domain	1114859	1115128	270	64.16000366210938	5.000000018137469E-16
conserved hypothetical protein	Rv0998	Mycobacterium tuberculosis H37Rv complete genome.	PF00027.22	cNMP_binding	Cyclic nucleotide-binding domain	1114859	1115119	261	56.0	1.9E-15
conserved hypothetical protein	Rv0998	Mycobacterium tuberculosis H37Rv complete genome.	PF00583.17	Acetyltransf_1	Acetyltransferase (GNAT) family	1115381	1115617	237	27.3	2.2E-6
arginine deiminase arcA	Rv1001	Mycobacterium tuberculosis H37Rv complete genome.	PF02274.9	Amidinotransf	Amidinotransferase	1117209	1118381	1173	635.0999755859375	0.0
arginine deiminase arcA	Rv1001	Mycobacterium tuberculosis H37Rv complete genome.	PF02274.9	Amidinotransf	Amidinotransferase	1117209	1118381	1173	635.75	0.0
arginine deiminase arcA	Rv1001	Mycobacterium tuberculosis H37Rv complete genome.	TIGR01078	arcA	arginine deiminase	1117206	1118390	1185	871.72998046875	0.0
arginine deiminase arcA	Rv1001	Mycobacterium tuberculosis H37Rv complete genome.	TIGR01078	TIGR01078	arcA: arginine deiminase	1117197	1118390	1194	536.7	0.0
arginine deiminase arcA	Rv1001	Mycobacterium tuberculosis H37Rv complete genome.	PF02274.10	Amidinotransf	Amidinotransferase	1117209	1118381	1173	418.8	1.3E-125
conserved membrane protein	Rv1002c	Mycobacterium tuberculosis H37Rv complete genome.	PF02366.10	PMT	Dolichyl-phosphate-mannose-protein mannosyltransferase	1119082	1119855	774	26.0	9.999999974752427E-7
conserved membrane protein	Rv1002c	Mycobacterium tuberculosis H37Rv complete genome.	PF02366.10	PMT	Dolichyl-phosphate-mannose-protein mannosyltransferase	1119082	1119855	774	26.020000457763672	9.999999974752427E-7
conserved membrane protein	Rv1002c	Mycobacterium tuberculosis H37Rv complete genome.	PF02366.11	PMT	Dolichyl-phosphate-mannose-protein mannosyltransferase	1119088	1119855	768	52.3	3.8E-14
conserved hypothetical protein	Rv1003	Mycobacterium tuberculosis H37Rv complete genome.	PF00590.12	TP_methylase	Tetrapyrrole (Corrin/Porphyrin) Methylases	1120034	1120645	612	99.83000183105469	9.200000173618653E-27
conserved hypothetical protein	Rv1003	Mycobacterium tuberculosis H37Rv complete genome.	PF00590.12	TP_methylase	Tetrapyrrole (Corrin/Porphyrin) Methylases	1120034	1120645	612	98.0999984741211	2.5999998782445286E-26
conserved hypothetical protein	Rv1003	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00096	TIGR00096	conserved hypothetical protein TIGR00096	1120034	1120843	810	193.1199951171875	0.0
conserved hypothetical protein	Rv1003	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00096	TIGR00096	TIGR00096:  putative S-adenosylmethionine-dependent methyltransferase, YraL family	1120037	1120849	813	194.2	6.2E-58
conserved hypothetical protein	Rv1003	Mycobacterium tuberculosis H37Rv complete genome.	PF00590.13	TP_methylase	Tetrapyrrole (Corrin/Porphyrin) Methylases	1120043	1120645	603	98.7	2.7E-28
para-aminobenzoate synthase component I pabD	Rv1005c	Mycobacterium tuberculosis H37Rv complete genome.	PF00425.10	Chorismate_bind	chorismate binding enzyme	1122273	1123040	768	193.39999389648438	0.0
para-aminobenzoate synthase component I pabD	Rv1005c	Mycobacterium tuberculosis H37Rv complete genome.	PF00425.10	Chorismate_bind	chorismate binding enzyme	1122273	1123040	768	193.52999877929688	0.0
para-aminobenzoate synthase component I pabD	Rv1005c	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00553	pabB	aminodeoxychorismate synthase, component I	1122282	1123274	993	673.7000122070312	0.0
para-aminobenzoate synthase component I pabD	Rv1005c	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00553	TIGR00553	pabB: aminodeoxychorismate synthase, component I	1122282	1123274	993	395.2	4.4E-119
para-aminobenzoate synthase component I pabD	Rv1005c	Mycobacterium tuberculosis H37Rv complete genome.	PF00425.11	Chorismate_bind	chorismate binding enzyme	1122294	1123040	747	229.1	4.3E-68
methionyl-tRNA synthetase metS	Rv1007c	Mycobacterium tuberculosis H37Rv complete genome.	PF00133.15	tRNA-synt_1	tRNA synthetases class I (I, L, M and V)	1125987	1126349	363	86.9	6.2E-25
methionyl-tRNA synthetase metS	Rv1007c	Mycobacterium tuberculosis H37Rv complete genome.	PF01406.12	tRNA-synt_1e	tRNA synthetases class I (C) catalytic domain	1126551	1126997	447	41.9	5.0E-11
methionyl-tRNA synthetase metS	Rv1007c	Mycobacterium tuberculosis H37Rv complete genome.	PF00133.15	tRNA-synt_1	tRNA synthetases class I (I, L, M and V)	1126638	1127000	363	86.9	6.2E-25
methionyl-tRNA synthetase metS	Rv1007c	Mycobacterium tuberculosis H37Rv complete genome.	PF09334.4	tRNA-synt_1g	tRNA synthetases class I (M)	1125915	1126994	1080	404.4	3.0E-121
methionyl-tRNA synthetase metS	Rv1007c	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00398	TIGR00398	metG: methionine--tRNA ligase	1125477	1126994	1518	483.1	0.0
methionyl-tRNA synthetase metS	Rv1007c	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00398	metG	methionyl-tRNA synthetase	1125471	1126994	1524	565.1799926757812	0.0
methionyl-tRNA synthetase metS	Rv1007c	Mycobacterium tuberculosis H37Rv complete genome.	PF09334.3	tRNA-synt_1g	tRNA synthetases class I (M)	1125915	1126994	1080	642.1099853515625	0.0
methionyl-tRNA synthetase metS	Rv1007c	Mycobacterium tuberculosis H37Rv complete genome.	PF09334.3	tRNA-synt_1g	tRNA synthetases class I (M)	1125915	1126994	1080	642.0	0.0
deoxyribonuclease tatD	Rv1008	Mycobacterium tuberculosis H37Rv complete genome.	PF01026.13	TatD_DNase	TatD related DNase	1127092	1127862	771	360.4100036621094	0.0
deoxyribonuclease tatD	Rv1008	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00010	TIGR00010	hydrolase, TatD family	1127089	1127865	777	461.7900085449219	0.0
deoxyribonuclease tatD	Rv1008	Mycobacterium tuberculosis H37Rv complete genome.	PF01026.14	TatD_DNase	TatD related DNase	1127092	1127862	771	234.1	1.1E-69
deoxyribonuclease tatD	Rv1008	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00010	TIGR00010	TIGR00010: hydrolase, TatD family	1127089	1127865	777	285.9	5.4E-86
deoxyribonuclease tatD	Rv1008	Mycobacterium tuberculosis H37Rv complete genome.	PF01026.13	TatD_DNase	TatD related DNase	1127089	1127862	774	342.0	0.0
resuscitation-promoting factor rpfB	Rv1009	Mycobacterium tuberculosis H37Rv complete genome.	PF06737.6	Transglycosylas	Transglycosylase-like domain	1128925	1129158	234	167.1999969482422	0.0
resuscitation-promoting factor rpfB	Rv1009	Mycobacterium tuberculosis H37Rv complete genome.	PF07501.4	G5	G5 domain	1128670	1128906	237	89.0999984741211	1.399999968193506E-23
resuscitation-promoting factor rpfB	Rv1009	Mycobacterium tuberculosis H37Rv complete genome.	PF06737.7	Transglycosylas	Transglycosylase-like domain	1128925	1129158	234	109.5	6.1E-32
resuscitation-promoting factor rpfB	Rv1009	Mycobacterium tuberculosis H37Rv complete genome.	PF03990.6	DUF348	Domain of unknown function (DUF348)	1128298	1128462	165	60.29999923706055	6.4000001079192546E-15
resuscitation-promoting factor rpfB	Rv1009	Mycobacterium tuberculosis H37Rv complete genome.	PF03990.6	DUF348	Domain of unknown function (DUF348)	1128127	1128294	168	62.0	1.899999932776855E-15
resuscitation-promoting factor rpfB	Rv1009	Mycobacterium tuberculosis H37Rv complete genome.	PF07501.5	G5	G5 domain	1128670	1128906	237	68.3	3.2E-19
resuscitation-promoting factor rpfB	Rv1009	Mycobacterium tuberculosis H37Rv complete genome.	PF03990.7	DUF348	Domain of unknown function (DUF348)	1128508	1128636	129	97.8	1.4E-28
resuscitation-promoting factor rpfB	Rv1009	Mycobacterium tuberculosis H37Rv complete genome.	PF03990.7	DUF348	Domain of unknown function (DUF348)	1128337	1128462	126	97.8	1.4E-28
resuscitation-promoting factor rpfB	Rv1009	Mycobacterium tuberculosis H37Rv complete genome.	PF03990.7	DUF348	Domain of unknown function (DUF348)	1128166	1128318	153	97.8	1.4E-28
resuscitation-promoting factor rpfB	Rv1009	Mycobacterium tuberculosis H37Rv complete genome.	PF06737.6	Transglycosylas	Transglycosylase-like domain	1128925	1129158	234	167.19000244140625	0.0
resuscitation-promoting factor rpfB	Rv1009	Mycobacterium tuberculosis H37Rv complete genome.	PF03990.6	DUF348	Domain of unknown function (DUF348)	1128166	1128294	129	128.52999877929688	2.099999994757381E-35
resuscitation-promoting factor rpfB	Rv1009	Mycobacterium tuberculosis H37Rv complete genome.	PF03990.6	DUF348	Domain of unknown function (DUF348)	1128337	1128462	126	128.52999877929688	2.099999994757381E-35
resuscitation-promoting factor rpfB	Rv1009	Mycobacterium tuberculosis H37Rv complete genome.	PF03990.6	DUF348	Domain of unknown function (DUF348)	1128508	1128636	129	128.52999877929688	2.099999994757381E-35
resuscitation-promoting factor rpfB	Rv1009	Mycobacterium tuberculosis H37Rv complete genome.	PF07501.4	G5	G5 domain	1128670	1128906	237	89.0999984741211	1.6000000312663702E-23
resuscitation-promoting factor rpfB	Rv1009	Mycobacterium tuberculosis H37Rv complete genome.	PF03990.6	DUF348	Domain of unknown function (DUF348)	1128469	1128636	168	61.20000076293945	3.5000000656357872E-15
dimethyladenosine transferase ksgA	Rv1010	Mycobacterium tuberculosis H37Rv complete genome.	PF00398.12	RrnaAD	Ribosomal RNA adenine dimethylase	1129230	1130015	786	132.6999969482422	1.0000000359391298E-36
dimethyladenosine transferase ksgA	Rv1010	Mycobacterium tuberculosis H37Rv complete genome.	PF00398.12	RrnaAD	Ribosomal RNA adenine dimethylase	1129230	1130015	786	141.6999969482422	2.3000002149425736E-39
dimethyladenosine transferase ksgA	Rv1010	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00755	ksgA	dimethyladenosine transferase	1129233	1130027	795	432.6499938964844	0.0
dimethyladenosine transferase ksgA	Rv1010	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00755	TIGR00755	ksgA: dimethyladenosine transferase	1129233	1130027	795	266.3	4.8E-80
dimethyladenosine transferase ksgA	Rv1010	Mycobacterium tuberculosis H37Rv complete genome.	PF00398.13	RrnaAD	Ribosomal RNA adenine dimethylase	1129230	1130024	795	144.1	3.0E-42
4-diphosphocytidyl-2-C-methyl-D-erythritol kinase ispE	Rv1011	Mycobacterium tuberculosis H37Rv complete genome.	PF08544.6	GHMP_kinases_C	GHMP kinases C terminal	1130806	1131039	234	34.3	1.5E-8
4-diphosphocytidyl-2-C-methyl-D-erythritol kinase ispE	Rv1011	Mycobacterium tuberculosis H37Rv complete genome.	PF08544.5	GHMP_kinases_C	GHMP kinases C terminal	1130806	1131042	237	33.5	7.300000106624793E-7
4-diphosphocytidyl-2-C-methyl-D-erythritol kinase ispE	Rv1011	Mycobacterium tuberculosis H37Rv complete genome.	PF00288.18	GHMP_kinases_N	GHMP kinases N terminal domain	1130458	1130634	177	74.19999694824219	4.1999999959621654E-19
4-diphosphocytidyl-2-C-methyl-D-erythritol kinase ispE	Rv1011	Mycobacterium tuberculosis H37Rv complete genome.	PF08544.5	GHMP_kinases_C	GHMP kinases C terminal	1130806	1131042	237	33.66999816894531	7.599999776175537E-7
4-diphosphocytidyl-2-C-methyl-D-erythritol kinase ispE	Rv1011	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00154	ispE	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	1130197	1131090	894	125.61000061035156	5.499999740281395E-35
4-diphosphocytidyl-2-C-methyl-D-erythritol kinase ispE	Rv1011	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00154	TIGR00154	ispE: 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	1130200	1131036	837	175.4	3.9E-52
4-diphosphocytidyl-2-C-methyl-D-erythritol kinase ispE	Rv1011	Mycobacterium tuberculosis H37Rv complete genome.	PF00288.19	GHMP_kinases_N	GHMP kinases N terminal domain	1130458	1130634	177	40.4	1.7E-10
4-diphosphocytidyl-2-C-methyl-D-erythritol kinase ispE	Rv1011	Mycobacterium tuberculosis H37Rv complete genome.	PF00288.18	GHMP_kinases_N	GHMP kinases N terminal domain	1130458	1130634	177	74.26000213623047	4.599999983268374E-19
polyketide synthase pks16	Rv1013	Mycobacterium tuberculosis H37Rv complete genome.	PF00501.20	AMP-binding	AMP-binding enzyme	1131715	1133025	1311	274.1000061035156	0.0
polyketide synthase pks16	Rv1013	Mycobacterium tuberculosis H37Rv complete genome.	PF00501.21	AMP-binding	AMP-binding enzyme	1131715	1133025	1311	279.3	2.6E-83
polyketide synthase pks16	Rv1013	Mycobacterium tuberculosis H37Rv complete genome.	PF00501.20	AMP-binding	AMP-binding enzyme	1131715	1133025	1311	274.29998779296875	0.0
peptidyl-tRNA hydrolase pth	Rv1014c	Mycobacterium tuberculosis H37Rv complete genome.	PF01195.12	Pept_tRNA_hydro	Peptidyl-tRNA hydrolase	1133342	1133893	552	224.5	5.3E-67
peptidyl-tRNA hydrolase pth	Rv1014c	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00447	TIGR00447	pth: peptidyl-tRNA hydrolase	1133339	1133899	561	196.5	6.7E-59
peptidyl-tRNA hydrolase pth	Rv1014c	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00447	pth	peptidyl-tRNA hydrolase	1133339	1133899	561	246.0800018310547	0.0
peptidyl-tRNA hydrolase pth	Rv1014c	Mycobacterium tuberculosis H37Rv complete genome.	PF01195.11	Pept_tRNA_hydro	Peptidyl-tRNA hydrolase	1133342	1133893	552	394.8699951171875	0.0
peptidyl-tRNA hydrolase pth	Rv1014c	Mycobacterium tuberculosis H37Rv complete genome.	PF01195.11	Pept_tRNA_hydro	Peptidyl-tRNA hydrolase	1133342	1133893	552	394.8999938964844	0.0
50S ribosomal protein L25 rplY	Rv1015c	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00731	ctc_TL5	ribosomal protein L25, Ctc-form	1134026	1134544	519	242.08999633789062	0.0
50S ribosomal protein L25 rplY	Rv1015c	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00731	TIGR00731	ctc_TL5: ribosomal protein L25, Ctc-form	1134026	1134544	519	199.5	7.3E-60
50S ribosomal protein L25 rplY	Rv1015c	Mycobacterium tuberculosis H37Rv complete genome.	PF01386.11	Ribosomal_L25p	Ribosomal L25p family	1134284	1134544	261	175.86000061035156	0.0
50S ribosomal protein L25 rplY	Rv1015c	Mycobacterium tuberculosis H37Rv complete genome.	PF01386.11	Ribosomal_L25p	Ribosomal L25p family	1134284	1134544	261	175.89999389648438	0.0
