Label	ID	Track	Strand	Start	Stop	Length	DB XREF	Experiment	Function	Gene	Protein ID	EC_Number	Product	TransL_Table	Locus Tag
NC_000962.gbk: CDS	23338:58:00	NC_000962.gbk: CDS (640113442)	+	618305	619894	1590	887372		UNKNOWN		NP_215042.1		transmembrane protein	11	Rv0528
ccsA	23338:59:00	NC_000962.gbk: CDS (640113442)	+	619891	620865	975	887380	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	REQUIRED DURING CYTOCHROME BIOGENESIS AT THE STEP OF HEME ATTACHMENT.	ccsA	NP_215041.2		cytochrome C-type biogenesis protein CcsA	11	Rv0529
NC_000962.gbk: CDS	23339:00:00	NC_000962.gbk: CDS (640113442)	+	620907	622124	1218	887385	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_215044.1		hypothetical protein	11	Rv0530
NC_000962.gbk: CDS	23339:01:00	NC_000962.gbk: CDS (640113442)	+	622329	622646	318	887376		UNKNOWN		NP_215045.1		hypothetical protein	11	Rv0531
PE_PGRS6	23339:02:00	NC_000962.gbk: CDS (640113442)	+	622793	624577	1785	887391		UNKNOWN	PE_PGRS6	YP_177736.1		PE-PGRS family protein	11	Rv0532
fabH	23339:03:00	NC_000962.gbk: CDS (640113442)	-	624473	625480	1008	887381	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	INVOLVED IN FATTY ACID BIOSYNTHESIS. CATALYZES THE CONDENSATION REACTION OF FATTY ACID SYNTHESIS BY THE ADDITION TO AN ACYL ACCEPTOR OF TWO CARBONS FROM MALONYL-ACP. KAS III CATALYZES THE FIRST CONDENSATION REACTION WHICH INITIATES FATTY ACID SYNTHESIS AN	fabH	NP_215047.1	2.3.1.41	3-oxoacyl-ACP synthase	11	Rv0533c
menA	23339:04:00	NC_000962.gbk: CDS (640113442)	-	625562	626440	879	887408		INVOLVED IN MENAQUINONE BIOSYNTHESIS. CONVERSION OF 1,4-DIHYDROXY-2-NAPHTHOATE (DHNA) TO DIMETHYLMENAQUINONE (DMK). ATTACHES OCTAPRENYLPYROPHOSPHATE, A MEMBRANE-BOUND 40-CARBON SIDE CHAIN TO DHNA. THE CONVERSION OF DHNA TO DMK PROCEEDS IN THREE STAGES: TH	menA	NP_215048.1	2.5.1.-	1,4-dihydroxy-2-naphthoate octaprenyltransferase	11	Rv0534c
pnp	23339:05:00	NC_000962.gbk: CDS (640113442)	+	626457	627251	795	887430	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	PHOSPHORYLATES 5'-methylthioadenosin [CATALYTIC ACTIVITY: 5'-methylthioadenosine + phosphate = adenine + 5-methylthio-D-ribose 1-phosphate].	pnp	NP_215049.1	2.4.2.28	5'-methylthioadenosine phosphorylase	11	Rv0535
galE3	23339:06:00	NC_000962.gbk: CDS (640113442)	+	627248	628288	1041	887457	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	POSSIBLY INVOLVED IN GALACTOSE METABOLISM [CATALYTIC ACTIVITY: UDP-GLUCOSE = UDP-GALACTOSE].	galE3	YP_177737.1	5.1.3.2	UDP-glucose 4-epimerase	11	Rv0536
NC_000962.gbk: CDS	23339:07:00	NC_000962.gbk: CDS (640113442)	-	628298	629731	1434	887465		UNKNOWN		NP_215051.1		hypothetical protein	11	Rv0537c
NC_000962.gbk: CDS	23339:08:00	NC_000962.gbk: CDS (640113442)	+	630040	631686	1647	887473	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_215052.1		hypothetical protein	11	Rv0538
NC_000962.gbk: CDS	23339:09:00	NC_000962.gbk: CDS (640113442)	+	631743	632375	633	887476	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	SUBSTRATE (SUGAR) UNKNOWN [CATALYTIC ACTIVITY: NDP-sugar + dolichyl phosphate = NDP + dolichyl sugar phosphate].		NP_215053.1	2.4.1.-	dolichyl-phosphate sugar synthase	11	Rv0539
NC_000962.gbk: CDS	23339:10:00	NC_000962.gbk: CDS (640113442)	+	632372	633034	663	887489	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_215054.1		hypothetical protein	11	Rv0540
NC_000962.gbk: CDS	23339:11:00	NC_000962.gbk: CDS (640113442)	-	633055	634404	1350	887416		UNKNOWN		NP_215055.1		hypothetical protein	11	Rv0541c
menE	23339:12:00	NC_000962.gbk: CDS (640113442)	-	634416	635504	1089	887507		INVOLVED IN MENAQUINONE BIOSYNTHESIS. O-SUCCINYLBENZOIC ACID (OSB) TO O-SUCCINYLBENZOYL-COA (OSB-COA) [CATALYTIC ACTIVITY: ATP + O-succinylbenzoate + CoA = AMP + diphosphate + O-succinylbenzoyl-CoA].	menE	NP_215056.1	6.2.1.26	O-succinylbenzoic acid--CoA ligase	11	Rv0542c
NC_000962.gbk: CDS	23339:13:00	NC_000962.gbk: CDS (640113442)	-	635573	635875	303	887494		UNKNOWN		NP_215057.1		hypothetical protein	11	Rv0543c
NC_000962.gbk: CDS	23339:14:00	NC_000962.gbk: CDS (640113442)	-	635935	636213	279	887511		UNKNOWN		NP_215058.1		transmembrane protein	11	Rv0544c
pitA	23339:15:00	NC_000962.gbk: CDS (640113442)	-	636210	637463	1254	887517		INVOLVED IN LOW-AFFINITY INORGANIC PHOSPHATE TRANSPORT ACROSS THE MEMBRANE. RESPONSIBLE FOR THE TRANSLOCATION OF THE SUBSTRATE ACROSS THE MEMBRANE.	pitA	NP_215059.1		inorganic phosphate transporter	11	Rv0545c
NC_000962.gbk: CDS	23339:16:00	NC_000962.gbk: CDS (640113442)	-	637583	637969	387	887509	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_215060.1		hypothetical protein	11	Rv0546c
NC_000962.gbk: CDS	23339:17:00	NC_000962.gbk: CDS (640113442)	-	638032	638916	885	887527	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN; PROBABLY INVOLVED IN CELLULAR METABOLISM.		NP_215061.1		short-chain dehydrogenase	11	Rv0547c
menB	23339:18:00	NC_000962.gbk: CDS (640113442)	-	639012	639956	945	887529	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	INVOLVED IN MENAQUINONE BIOSYNTHESIS. CONVERT O-SUCCINYLBENZOYL-CoA (OSB-COA) TO 1,4-DIHYDROXY-2-NAPHTHOIC ACID (DHNA) [CATALYTIC ACTIVITY: O-succinylbenzoyl-CoA = 1,4-dihydroxy-2-naphthoate + CoA].	menB	NP_215062.1	4.1.3.36	naphthoate synthase	11	Rv0548c
NC_000962.gbk: CDS	23339:19:00	NC_000962.gbk: CDS (640113442)	-	640228	640641	414	887534	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_215063.1		hypothetical protein	11	Rv0549c
NC_000962.gbk: CDS	23339:20:00	NC_000962.gbk: CDS (640113442)	-	640638	640904	267	887515		UNKNOWN		NP_215064.1		hypothetical protein	11	Rv0550c
fadD8	23339:21:00	NC_000962.gbk: CDS (640113442)	-	641096	642811	1716	887526	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN, BUT INVOLVED IN LIPID DEGRADATION.	fadD8	NP_215065.1	2.3.1.86	acyl-CoA synthetase	11	Rv0551c
NC_000962.gbk: CDS	23339:22:00	NC_000962.gbk: CDS (640113442)	+	642889	644493	1605	887537	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_215066.1		hypothetical protein	11	Rv0552
menC	23339:23:00	NC_000962.gbk: CDS (640113442)	+	644490	645470	981	887544		POSSIBLY INVOLVED IN MENAQUINONE BIOSYNTHESIS. CATALYZES A SYN CYCLOISOMERIZATION [CATALYTIC ACTIVITY: 2,5-dihydro-5-oxofuran-2-acetate = cis,cis-hexadienedioate].	menC	NP_215067.1	5.5.1.1	O-succinylbenzoate synthase	11	Rv0553
bpoC	23339:24:00	NC_000962.gbk: CDS (640113442)	+	645467	646255	789	887535	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	SUPPOSED INVOLVED IN DETOXIFICATION REACTIONS.	bpoC	NP_215068.1	1.11.1.-	bromide peroxidase	11	Rv0554
menD	23339:25:00	NC_000962.gbk: CDS (640113442)	+	646298	647962	1665	887554	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	INVOLVED IN MENAQUINONE BIOSYNTHESIS (AT THE FIRST STEP) [CATALYTIC ACTIVITY 1: ISOCHORISMATE + 2-KETOGLUTARATE = 2-SUCCINYL-6-HYDROXY-2,4-CYCLOHEXADIENE-1-CARBOXYLATE + PYRUVATE + CO(2)] [CATALYTIC ACTIVITY 2: 2-OXOGLUTARATE = SUCCINATE SEMIALDEHYDE + CO	menD	NP_215069.1		2-succinyl-5-enolpyruvyl-6-hydroxy-3- cyclohexene-1-carboxylate synthase	11	Rv0555
NC_000962.gbk: CDS	23339:26:00	NC_000962.gbk: CDS (640113442)	+	647959	648474	516	887551	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_215070.1		transmembrane protein	11	Rv0556
pimB	23339:27:00	NC_000962.gbk: CDS (640113442)	+	648536	649672	1137	887609		INVOLVED IN LIPOARABINOMANNAN (LAM) BIOSYNTHESIS.	pimB	NP_215071.1	2.4.1.-	mannosyltransferase	11	Rv0557
ubiE	23339:28:00	NC_000962.gbk: CDS (640113442)	+	649689	650393	705	887591	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	INVOLVED IN MENAQUINONE BIOSYNTHESIS (AT THE LAST STEP) CONVERTS DMKH2 INTO MKH2 [CATALYTIC ACTIVITY: S-ADENOSYL-L-METHIONINE + DEMETHYLMENAQUINOL = S-ADENOSYL-L-HOMOCYSTEINE + MENAQUINOL].	ubiE	YP_177738.1	2.1.1.-	ubiquinone/menaquinone biosynthesis methyltransferase	11	Rv0558
NC_000962.gbk: CDS	23339:29:00	NC_000962.gbk: CDS (640113442)	-	650407	650745	339	887569	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_215073.1		hypothetical protein	11	Rv0559c
NC_000962.gbk: CDS	23339:30:00	NC_000962.gbk: CDS (640113442)	-	650779	651504	726	887637	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	POSSIBLY CAUSES METHYLATION		NP_215074.1	2.1.1.-	benzoquinone methyltransferase	11	Rv0560c
NC_000962.gbk: CDS	23339:31:00	NC_000962.gbk: CDS (640113442)	-	651529	652755	1227	887638	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN; PROBABLY INVOLVED IN CELLULAR METABOLISM.		NP_215075.1		oxidoreductase	11	Rv0561c
grcC1	23339:32:00	NC_000962.gbk: CDS (640113442)	+	652771	653778	1008	887647	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	POSSIBLY SUPPLIES POLYPRENYL DIPHOSPHATE.	grcC1	NP_215076.1	2.5.1.-	polyprenyl synthetase	11	Rv0562
htpX	23339:33:00	NC_000962.gbk: CDS (640113442)	+	653879	654739	861	887649	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	POSSIBLY INVOLVED IN ADAPTATION. HYDROLIZES SPECIFIC PEPTIDES AND/OR PROTEINS.	htpX	NP_215077.1	3.4.24.-	heat shock protein HtpX	11	Rv0563
gpsA	23339:34:00	NC_000962.gbk: CDS (640113442)	-	654924	655949	1026	887651	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	Involved in de novo phospholipid biosynthesis; glycerol-3 phosphate formation [CATALYTIC ACTIVITY: Sn-glycerol 3-phosphate + NAD(P)+ = glycerone phosphate + NAD(P)H].	gpsA	NP_215078.1	1.1.1.94	NAD(P)H-dependent glycerol-3-phosphate dehydrogenase	11	Rv0564c
NC_000962.gbk: CDS	23339:35:00	NC_000962.gbk: CDS (640113442)	-	656010	657470	1461	887662	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN; PROBABLY INVOLVED IN CELLULAR METABOLISM.		NP_215079.1	1.14.-.-	monooxygenase	11	Rv0565c
NC_000962.gbk: CDS	23339:36:00	NC_000962.gbk: CDS (640113442)	-	657548	658039	492	887633	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_215080.1		nucleotide-binding protein	11	Rv0566c
NC_000962.gbk: CDS	23339:37:00	NC_000962.gbk: CDS (640113442)	+	658321	659340	1020	887667	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	CAUSES METHYLATION		NP_215081.1	2.1.1.-	methyltransferase/methylase	11	Rv0567
cyp135B1	23339:38:00	NC_000962.gbk: CDS (640113442)	+	659450	660868	1419	887654	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	CYTOCHROMES P450 ARE A GROUP OF HEME-THIOLATE MONOOXYGENASES. THEY OXIDIZE A VARIETY OF STRUCTURALLY UNRELATED COMPOUNDS, INCLUDING STEROIDS, FATTY ACIDS, AND XENOBIOTICS.	cyp135B1	NP_215082.1	1.14.-.-	cytochrome P450 135B1	11	Rv0568
NC_000962.gbk: CDS	23339:39:00	NC_000962.gbk: CDS (640113442)	+	661003	661269	267	887678	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_215083.1		hypothetical protein	11	Rv0569
nrdZ	23339:40:00	NC_000962.gbk: CDS (640113442)	+	661295	663373	2079	887666	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	INVOLVED IN THE DNA REPLICATION PATHWAY (AT THE FIRST REACTION). PROVIDES THE PRECURSORS NECESSARY FOR DNA SYNTHESIS [CATALYTIC ACTIVITY: 2'-deoxyribonucleoside diphosphate + oxidized thioredoxin + H2O = ribonucleoside diphosphate + reduced thioredoxin].	nrdZ	NP_215084.1	1.17.4.-	ribonucleoside-diphosphate reductase large subunit NrdZ	11	Rv0570
NC_000962.gbk: CDS	23339:41:00	NC_000962.gbk: CDS (640113442)	-	663487	664818	1332	887710	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_215085.1		hypothetical protein	11	Rv0571c
NC_000962.gbk: CDS	23339:42:00	NC_000962.gbk: CDS (640113442)	-	665042	665383	342	887696	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_215086.1		hypothetical protein	11	Rv0572c
NC_000962.gbk: CDS	23339:44:00	NC_000962.gbk: CDS (640113442)	-	665851	667242	1392	887716	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_215087.1	2.4.2.11	nicotinate phosphoribosyltransferase	11	Rv0573c
NC_000962.gbk: CDS	23339:45:00	NC_000962.gbk: CDS (640113442)	-	667252	668394	1143	887721		UNKNOWN		NP_215088.1		hypothetical protein	11	Rv0574c
NC_000962.gbk: CDS	23339:46:00	NC_000962.gbk: CDS (640113442)	-	668579	669745	1167	887720	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN; PROBABLY INVOLVED IN CELLULAR METABOLISM.		NP_215089.1		hypothetical protein	11	Rv0575c
NC_000962.gbk: CDS	23339:47:00	NC_000962.gbk: CDS (640113442)	+	669848	671152	1305	887717	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	INVOLVED IN TRANSCRIPTIONAL MECHANISM.		NP_215090.1		ArsR family transcriptional regulator	11	Rv0576
TB27.3	23339:48:00	NC_000962.gbk: CDS (640113442)	+	671166	671951	786	887732	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN	TB27.3	NP_215091.1		hypothetical protein	11	Rv0577
PE_PGRS7	23339:49:00	NC_000962.gbk: CDS (640113442)	-	671996	675916	3921	887725		UNKNOWN	PE_PGRS7	YP_177739.1		PE-PGRS family protein	11	Rv0578c
NC_000962.gbk: CDS	23339:50:00	NC_000962.gbk: CDS (640113442)	+	676238	676996	759	887738		UNKNOWN		NP_215093.1		hypothetical protein	11	Rv0579
NC_000962.gbk: CDS	23339:51:00	NC_000962.gbk: CDS (640113442)	-	677125	677616	492	887712	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_215094.1		hypothetical protein	11	Rv0580c
NC_000962.gbk: CDS	23339:52:00	NC_000962.gbk: CDS (640113442)	+	677710	677925	216	887739		UNKNOWN		NP_215095.1		hypothetical protein	11	Rv0581
NC_000962.gbk: CDS	23339:53:00	NC_000962.gbk: CDS (640113442)	+	677922	678329	408	887747		UNKNOWN		NP_215096.1		hypothetical protein	11	Rv0582
lpqN	23339:54:00	NC_000962.gbk: CDS (640113442)	-	678389	679075	687	887733	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN	lpqN	NP_215097.1		lipoprotein LpqN	11	Rv0583c
NC_000962.gbk: CDS	23339:55:00	NC_000962.gbk: CDS (640113442)	+	679229	681862	2634	887752		UNKNOWN		NP_215098.1		hypothetical protein	11	Rv0584
NC_000962.gbk: CDS	23339:56:00	NC_000962.gbk: CDS (640113442)	-	681885	684272	2388	887753		UNKNOWN		NP_215099.1		hypothetical protein	11	Rv0585c
NC_000962.gbk: CDS	23339:57:00	NC_000962.gbk: CDS (640113442)	+	684410	685132	723	887754	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	INVOLVED IN TRANSCRIPTIONAL MECHANISM.		NP_215100.1		GntR family transcriptional regulator	11	Rv0586
yrbE2A	23339:58:00	NC_000962.gbk: CDS (640113442)	+	685129	685926	798	887755		UNKNOWN	yrbE2A	NP_215101.1		hypothetical protein	11	Rv0587
yrbE2B	23339:59:00	NC_000962.gbk: CDS (640113442)	+	685928	686815	888	887761		UNKNOWN	yrbE2B	NP_215102.1		hypothetical protein	11	Rv0588
mce2A	23340:00:00	NC_000962.gbk: CDS (640113442)	+	686821	688035	1215	887745	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN, BUT THOUGHT TO BE INVOLVED IN HOST CELL INVASION.	mce2A	YP_177740.1		MCE-family protein MCE2A	11	Rv0589
mce2B	23340:01:00	NC_000962.gbk: CDS (640113442)	+	688032	688859	828	887771		UNKNOWN, BUT THOUGHT TO BE INVOLVED IN HOST CELL INVASION.	mce2B	NP_215104.1		MCE-family protein MCE2B	11	Rv0590
NC_000962.gbk: CDS	23340:02:00	NC_000962.gbk: CDS (640113442)	+	688808	689062	255	3205078		UNKNOWN, BUT COULD BE INVOLVED IN HOST CELL INVASION.		YP_177627.1		MCE family-like protein	11	Rv0590A
mce2C	23340:03:00	NC_000962.gbk: CDS (640113442)	+	689059	690504	1446	887770		UNKNOWN, BUT THOUGHT TO BE INVOLVED IN HOST CELL INVASION.	mce2C	NP_215105.1		MCE-family protein MCE2C	11	Rv0591
mce2D	23340:04:00	NC_000962.gbk: CDS (640113442)	+	690501	692027	1527	887786		UNKNOWN, BUT THOUGHT TO BE INVOLVED IN HOST CELL INVASION.	mce2D	NP_215106.1		MCE-family protein MCE2D	11	Rv0592
lprL	23340:05:00	NC_000962.gbk: CDS (640113442)	+	692024	693232	1209	887829		UNKNOWN, BUT THOUGHT TO BE INVOLVED IN HOST CELL INVASION.	lprL	NP_215107.1		MCE-family lipoprotein LprL	11	Rv0593
mce2F	23340:06:00	NC_000962.gbk: CDS (640113442)	+	693237	694787	1551	887797		UNKNOWN, BUT THOUGHT INVOLVED IN HOST CELL INVASION.	mce2F	NP_215108.1		MCE-family protein MCE2F	11	Rv0594
NC_000962.gbk: CDS	23340:07:00	NC_000962.gbk: CDS (640113442)	-	694839	695231	393	887835		UNKNOWN		NP_215109.1		hypothetical protein	11	Rv0595c
NC_000962.gbk: CDS	23340:08:00	NC_000962.gbk: CDS (640113442)	-	695228	695485	258	887846		UNKNOWN		NP_215110.1		hypothetical protein	11	Rv0596c
NC_000962.gbk: CDS	23340:09:00	NC_000962.gbk: CDS (640113442)	-	695668	696903	1236	887853		UNKNOWN		NP_215111.1		hypothetical protein	11	Rv0597c
NC_000962.gbk: CDS	23340:10:00	NC_000962.gbk: CDS (640113442)	-	697154	697567	414	887861		UNKNOWN		NP_215112.1		hypothetical protein	11	Rv0598c
NC_000962.gbk: CDS	23340:11:00	NC_000962.gbk: CDS (640113442)	-	697564	697800	237	887856	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_215113.1		hypothetical protein	11	Rv0599c
NC_000962.gbk: CDS	23340:12:00	NC_000962.gbk: CDS (640113442)	-	697904	698410	507	887847		SENSOR PART OF A TWO COMPONENT REGULATORY SYSTEM.		NP_215114.2	2.7.3.-	two component sensor kinase	11	Rv0600c
NC_000962.gbk: CDS	23340:13:00	NC_000962.gbk: CDS (640113442)	-	698524	698994	471	887868		SENSOR PART OF A TWO COMPONENT REGULATORY SYSTEM.		NP_215115.1	2.7.3.-	two component sensor kinase	11	Rv0601c
tcrA	23340:14:00	NC_000962.gbk: CDS (640113442)	-	699038	699799	762	887870		SENSOR PART OF A TWO COMPONENT REGULATORY SYSTEM.	tcrA	NP_215116.1		two component DNA binding transcriptional regulatory protein TCRA	11	Rv0602c
NC_000962.gbk: CDS	23340:15:00	NC_000962.gbk: CDS (640113442)	+	699856	700167	312	887863		UNKNOWN		NP_215117.1		hypothetical protein	11	Rv0603
lpqO	23340:16:00	NC_000962.gbk: CDS (640113442)	+	700239	701189	951	887879	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN	lpqO	NP_215118.1		lipoprotein lpqo	11	Rv0604
NC_000962.gbk: CDS	23340:17:00	NC_000962.gbk: CDS (640113442)	+	701406	702014	609	887872		PREVENTS THE COINTEGRATION OF FOREIGN DNA BEFORE INTEGRATION INTO THE CHROMOSOME.		NP_215119.1		resolvase	11	Rv0605
NC_000962.gbk: CDS	23340:18:00	NC_000962.gbk: CDS (640113442)	+	702016	702759	744	887889		THOUGHT TO BE REQUIRED FOR THE TRANSPOSITION OF THE INSERTION ELEMENT IS_1536.		NP_215120.1		hypothetical protein	11	Rv0606
NC_000962.gbk: CDS	23340:19:00	NC_000962.gbk: CDS (640113442)	+	702813	703199	387	887883		UNKNOWN		NP_215121.1		hypothetical protein	11	Rv0607
NC_000962.gbk: CDS	23340:20:00	NC_000962.gbk: CDS (640113442)	+	703244	703489	246	887895		UNKNOWN		NP_215122.1		hypothetical protein	11	Rv0608
NC_000962.gbk: CDS	23340:21:00	NC_000962.gbk: CDS (640113442)	+	703486	703887	402	887896		UNKNOWN		NP_215123.1		hypothetical protein	11	Rv0609
NC_000962.gbk: CDS	23340:22:00	NC_000962.gbk: CDS (640113442)	+	703830	704057	228	3205046		UNKNOWN		YP_177628.1		hypothetical protein	11	Rv0609A
NC_000962.gbk: CDS	23340:23:00	NC_000962.gbk: CDS (640113442)	-	704752	705909	1158	887890		UNKNOWN		NP_215124.1		hypothetical protein	11	Rv0610c
NC_000962.gbk: CDS	23340:24:00	NC_000962.gbk: CDS (640113442)	-	705961	706344	384	887906		UNKNOWN		NP_215125.1		hypothetical protein	11	Rv0611c
NC_000962.gbk: CDS	23340:25:00	NC_000962.gbk: CDS (640113442)	+	706324	706929	606	887908		UNKNOWN		NP_215126.1		hypothetical protein	11	Rv0612
NC_000962.gbk: CDS	23340:26:00	NC_000962.gbk: CDS (640113442)	-	706948	709515	2568	887913	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_215127.1		hypothetical protein	11	Rv0613c
NC_000962.gbk: CDS	23340:27:00	NC_000962.gbk: CDS (640113442)	+	709356	710348	993	887914		UNKNOWN		NP_215128.1		hypothetical protein	11	Rv0614
NC_000962.gbk: CDS	23340:28:00	NC_000962.gbk: CDS (640113442)	+	710345	710587	243	887920		UNKNOWN		NP_215129.1		hypothetical protein	11	Rv0615
NC_000962.gbk: CDS	23340:29:00	NC_000962.gbk: CDS (640113442)	-	710584	710850	267	887921		UNKNOWN		NP_215130.1		hypothetical protein	11	Rv0616c
NC_000962.gbk: CDS	23340:30:00	NC_000962.gbk: CDS (640113442)	+	711006	711407	402	887926		UNKNOWN		NP_215131.1		hypothetical protein	11	Rv0617
galTa	23340:31:00	NC_000962.gbk: CDS (640113442)	+	711536	712231	696	887932		INVOLVED IN GALACTOSE METABOLISM (LELOIR PATHWAY) [CATALYTIC ACTIVITY: UTP + alpha-D-galactose 1-phosphate = diphosphate + UDP-galactose].	galTa	YP_177741.1	2.7.7.10	galactose-1-phosphate uridylyltransferase	11	Rv0618
galTb	23340:32:00	NC_000962.gbk: CDS (640113442)	+	712174	712719	546	887943		INVOLVED IN GALACTOSE METABOLISM (LELOIR PATHWAY) [CATALYTIC ACTIVITY: UTP + alpha-D-galactose 1-phosphate = diphosphate + UDP-galactose].	galTb	YP_177742.1	2.7.7.10	galactose-1-phosphate uridylyltransferase	11	Rv0619
galK	23340:33:00	NC_000962.gbk: CDS (640113442)	+	712716	713807	1092	887936		INVOLVED IN GALACTOSE METABOLISM (LELOIR PATHWAY) (AT THE FIRST REACTION) [CATALYTIC ACTIVITY: ATP + D-galactose = ADP + D-galactose 1-phosphate].	galK	NP_215134.1	2.7.1.6	galactokinase	11	Rv0620
NC_000962.gbk: CDS	23340:34:00	NC_000962.gbk: CDS (640113442)	+	714202	715266	1065	887901		UNKNOWN		NP_215135.1		hypothetical protein	11	Rv0621
NC_000962.gbk: CDS	23340:35:00	NC_000962.gbk: CDS (640113442)	+	715370	716317	948	887942		UNKNOWN		NP_215136.2		hypothetical protein	11	Rv0622
NC_000962.gbk: CDS	23340:36:00	NC_000962.gbk: CDS (640113442)	+	716410	716664	255	887970		UNKNOWN		NP_215137.1		hypothetical protein	11	Rv0623
NC_000962.gbk: CDS	23340:37:00	NC_000962.gbk: CDS (640113442)	+	716664	717059	396	887951		UNKNOWN		NP_215138.1		hypothetical protein	11	Rv0624
NC_000962.gbk: CDS	23340:38:00	NC_000962.gbk: CDS (640113442)	-	717153	717893	741	887967		UNKNOWN		NP_215139.1		transmembrane protein	11	Rv0625c
NC_000962.gbk: CDS	23340:39:00	NC_000962.gbk: CDS (640113442)	+	718025	718285	261	887996		UNKNOWN		NP_215140.1		hypothetical protein	11	Rv0626
NC_000962.gbk: CDS	23340:40:00	NC_000962.gbk: CDS (640113442)	+	718282	718689	408	887991		UNKNOWN		NP_215141.1		hypothetical protein	11	Rv0627
NC_000962.gbk: CDS	23340:41:00	NC_000962.gbk: CDS (640113442)	-	718761	719912	1152	887986		UNKNOWN		NP_215142.1		hypothetical protein	11	Rv0628c
recD	23340:42:00	NC_000962.gbk: CDS (640113442)	-	720005	721732	1728	887999	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	INVOLVED IN HOMOLOGOUS RECOMBINATION.	recD	NP_215143.1	3.1.11.5	exonuclease V subunit alpha	11	Rv0629c
recB	23340:43:00	NC_000962.gbk: CDS (640113442)	-	721729	725013	3285	888004	COORDINATES: PNNL proteomics experiment - BioProject PRJNA66995	INVOLVED IN HOMOLOGOUS RECOMBINATION.	recB	NP_215144.1	3.1.11.5	exonuclease V subunit beta	11	Rv0630c
recC	23340:44:00	NC_000962.gbk: CDS (640113442)	-	725013	728306	3294	888008	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	INVOLVED IN HOMOLOGOUS RECOMBINATION.	recC	NP_215145.1	3.1.11.5	exonuclease V subunit gamma	11	Rv0631c
echA3	23340:45:00	NC_000962.gbk: CDS (640113442)	-	728583	729278	696	888015	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	COULD POSSIBLY OXIDIZES FATTY ACIDS USING SPECIFIC COMPONENTS [CATALYTIC ACTIVITY: (3S)-3-HYDROXYACYL-CoA = TRANS-2(OR 3)-ENOYL-CoA + H(2)O].	echA3	NP_215146.1	4.2.1.17	enoyl-CoA hydratase	11	Rv0632c
