Genome	Accession	Locus Tag	RefSeq Locus Tag	Annotation	Feature Type	Start	End	Length	Strand	Protein ID	AA Length	Gene Symbol	Product	Pseudo Gene	Bound Moiety	AntiCodon	
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0888		PATRIC	CDS	888784	888915	132	+		43		FIG00826744: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0889	Rv0795	PATRIC	CDS	889072	889398	327	+		108		Mobile element protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0890	Rv0796	PATRIC	CDS	889449	890333	885	+		294		Mobile element protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0891	Rv0797	PATRIC	CDS	890388	891482	1095	+		364		Mobile element protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0892	Rv0798c	PATRIC	CDS	891472	892269	798	-		265	cfp29	Encapsulating protein for a DyP-type peroxidase or ferritin-like protein oligomers				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0893	Rv0799c	PATRIC	CDS	892266	893273	1008	-		335		Predicted dye-decolorizing peroxidase (DyP), encapsulated subgroup				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0894	Rv0800	PATRIC	CDS	893318	894619	1302	+		433	pepC	Aspartyl aminopeptidase				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0895	Rv0801	PATRIC	CDS	894649	894978	330	+		109		glyoxalase family protein superfamily				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0896	Rv0802c	PATRIC	CDS	894972	895628	657	-		218		FIG00821487: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0897	Rv0803	PATRIC	CDS	895781	898084	2304	+		767	purL	Phosphoribosylformylglycinamidine synthase, synthetase subunit (EC 6.3.5.3)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0898	Rv0804	PATRIC	CDS	898081	898710	630	+		209		3',5'-cyclic-nucleotide phosphodiesterase (EC 3.1.4.17)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0899	Rv0805	PATRIC	CDS	898819	899787	969	+		322		3',5'-cyclic-nucleotide phosphodiesterase (EC 3.1.4.17)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0900	Rv0806c	PATRIC	CDS	899732	901330	1599	-		532	cpsY	probable UDP-glucose-4-epimerase				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0901	Rv0807	PATRIC	CDS	901680	902024	345	+		114		FIG00820565: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0902	Rv0808	PATRIC	CDS	902111	903694	1584	+		527	purF	Amidophosphoribosyltransferase (EC 2.4.2.14)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0903	Rv0809	PATRIC	CDS	903725	904819	1095	+		364	purM	Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0904	Rv0810c	PATRIC	CDS	904905	905087	183	-		60		FIG00821405: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0905	Rv0811c	PATRIC	CDS	905234	906340	1107	-		368		Folate-dependent protein for Fe/S cluster synthesis/repair in oxidative stress				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0906	Rv0812	PATRIC	CDS	906423	907292	870	+		289		Aminodeoxychorismate lyase (EC 4.1.3.38)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0907	Rv0813c	PATRIC	CDS	907338	908018	681	-		226		DUF1794				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0908		PATRIC	CDS	908015	908113	99	-		32		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0909	Rv0814c	PATRIC	CDS	908181	908453	273	-		90	sseC2	probable sseC protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0910	Rv0815c	PATRIC	CDS	908485	909318	834	-		277	cysA2	Thiosulfate sulfurtransferase, rhodanese (EC 2.8.1.1)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0911	Rv0816c	PATRIC	CDS	909611	910033	423	-		140	thiX	Thioredoxin				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0912	Rv0817c	PATRIC	CDS	910030	910836	807	-		268		FIG00821015: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0913	Rv0818	PATRIC	CDS	910972	911739	768	+		255		Phosphate regulon transcriptional regulatory protein PhoB (SphR)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0914	Rv0819	PATRIC	CDS	911736	912683	948	+		315		Acetyl-CoA:Cys-GlcN-Ins acetyltransferase, mycothiol synthase MshD				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0915	Rv0820	PATRIC	CDS	912726	913502	777	+		258	phoT	Phosphate transport ATP-binding protein PstB (TC 3.A.1.7.1)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0916	Rv0821c	PATRIC	CDS	913558	914199	642	-		213	phoY2	Phosphate transport system regulatory protein PhoU				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0917	Rv0822c	PATRIC	CDS	914257	915807	1551	-		516		Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily A1 (as in PMID19099556)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0918	Rv0823c	PATRIC	CDS	916477	917646	1170	-		389		tRNA dihydrouridine synthase B (EC 1.-.-.-)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0919	Rv0824c	PATRIC	CDS	917734	918750	1017	-		338	desA1	Fatty acid desaturase occurring in virulence cluster				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0920	Rv0825c	PATRIC	CDS	918912	919553	642	-		213		Transcriptional regulator, TetR family				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0921	Rv0826	PATRIC	CDS	919751	920689	939	+		312		FIG00820092: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0922	Rv0827c	PATRIC	CDS	920741	921085	345	-		114		transcriptional regulator, ArsR family				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0923	Rv0828c	PATRIC	CDS	921191	921613	423	-		140		Deaminase				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0924	Rv0829	PATRIC	CDS	921575	921865	291	+		96		Mobile element protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0925	Rv0830	PATRIC	CDS	921970	922875	906	+		301		O-Methyltransferase involved in polyketide biosynthesis				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0926	Rv0831c	PATRIC	CDS	922894	923709	816	-		271		FIG00821728: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0927	Rv0832	PATRIC	CDS	924951	925364	414	+		137	PE_PGRS12	PE_PGRS family protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0928	Rv0833	PATRIC	CDS	925361	927610	2250	+		749	PE_PGRS13	hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0929		PATRIC	CDS	927629	927808	180	+		59		FIG00823878: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0930	Rv0834c	PATRIC	CDS	927837	930485	2649	-		882	PE_PGRS14	PE-PGRS FAMILY PROTEIN				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0931		PATRIC	CDS	930553	930684	132	-		43		FIG00820753: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0932	Rv0835	PATRIC	CDS	930953	931597	645	+		214	lpqQ	POSSIBLE LIPOPROTEIN LPQQ				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0933		PATRIC	CDS	931578	931991	414	-		137		FIG00821610: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0934	Rv0836c	PATRIC	CDS	932279	933025	747	-		248		FIG00820906: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0935	Rv0837c	PATRIC	CDS	933003	934031	1029	-		342		COG4861: Uncharacterized protein conserved in bacteria				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0936		PATRIC	CDS	934293	934481	189	-		62		FIG00822787: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0937		PATRIC	CDS	934500	934712	213	-		70		FIG00821659: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0938	Rv0838	PATRIC	CDS	934879	935490	612	+		203	lpqR	D-alanyl-D-alanine dipeptidase				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0939	Rv0839	PATRIC	CDS	935544	936389	846	+		281		Methyltransferase (EC 2.1.1.-)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0940	Rv0840c	PATRIC	CDS	936457	937089	633	-		210	pip	Proline iminopeptidase (EC 3.4.11.5)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0941	Rv0841	PATRIC	CDS	937593	937835	243	+		80		PROBABLE CONSERVED TRANSMEMBRANE PROTEIN				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0942	Rv0842	PATRIC	CDS	938076	939404	1329	+		442		PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0943	Rv0843	PATRIC	CDS	939388	940392	1005	+		334		PROBABLE DEHYDROGENASE				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0944	Rv0844c	PATRIC	CDS	940456	941076	621	-		206	narL	DNA-binding response regulator, LuxR family				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0945	Rv0845	PATRIC	CDS	941190	942467	1278	+		425		POSSIBLE TWO COMPONENT SENSOR KINASE				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0946		PATRIC	CDS	942450	942569	120	-		39		FIG00821823: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0947	Rv0846c	PATRIC	CDS	942680	944194	1515	-		504		Multicopper oxidase				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0948	Rv0847	PATRIC	CDS	944319	944735	417	+		138	lpqS	PROBABLE LIPOPROTEIN LPQS				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0949	Rv0848	PATRIC	CDS	945253	946056	804	+		267	cysK2	Cysteine synthase (EC 2.5.1.47)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0950	Rv0849	PATRIC	CDS	946056	947315	1260	+		419		PROBABLE CONSERVED INTEGRAL MEMBRANE TRANSPORT PROTEIN				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0951	Rv0850	PATRIC	CDS	947297	947644	348	+		115		PUTATIVE TRANSPOSASE (FRAGMENT)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0952	Rv0851c	PATRIC	CDS	947641	948468	828	-		275		Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0953	Rv0852	PATRIC	CDS	948628	949395	768	+		255	fadD16	Long-chain fatty-acid-CoA ligase (EC 6.2.1.3), Mycobacterial subgroup FadD16				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0954	Rv0853c	PATRIC	CDS	949436	951118	1683	-		560	pdc	Pyruvate decarboxylase (EC 4.1.1.1); Alpha-keto-acid decarboxylase (EC 4.1.1.-)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0955	Rv0854	PATRIC	CDS	951183	951626	444	+		147		FIG00823411: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0956	Rv0855	PATRIC	CDS	951632	952711	1080	+		359	far	Alpha-methylacyl-CoA racemase (EC 5.1.99.4)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0957	Rv0856	PATRIC	CDS	952819	953229	411	+		136		FIG00822577: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0958	Rv0857	PATRIC	CDS	953278	953730	453	+		150		FIG00822577: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0959	Rv0858c	PATRIC	CDS	953727	954920	1194	-		397		putative aminotransferase				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0960	Rv0859	PATRIC	CDS	955059	956288	1230	+		409	fadA	3-ketoacyl-CoA thiolase [isoleucine degradation] (EC 2.3.1.16)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0961	Rv0860	PATRIC	CDS	956293	958455	2163	+		720	fadB	Enoyl-CoA hydratase [isoleucine degradation] (EC 4.2.1.17) / 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35) / 3-hydroxybutyryl-CoA epimerase (EC 5.1.2.3)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0962	Rv0861c	PATRIC	CDS	958523	960151	1629	-		542	ercc3	DNA repair helicase				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0963	Rv0862c	PATRIC	CDS	960342	962612	2271	-		756		probable DNA-binding protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0964	Rv0863	PATRIC	CDS	962680	962880	201	+		66		FIG057355: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0965	Rv0864	PATRIC	CDS	962890	963393	504	+		167	moaC	Molybdenum cofactor biosynthesis protein MoaC				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0966	Rv0865	PATRIC	CDS	963420	963872	453	+		150	mog	Molybdenum cofactor biosynthesis protein MoaB				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0967	Rv0866	PATRIC	CDS	963869	964294	426	+		141	moaE2	Molybdenum cofactor biosynthesis protein MoaE				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0968	Rv0867c	PATRIC	CDS	964312	965535	1224	-		407	rpfA	FIG00820555: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0969	Rv0868c	PATRIC	CDS	965983	966261	279	-		92	moaD2	Molybdenum cofactor biosynthesis protein MoaD				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0970	Rv0869c	PATRIC	CDS	966265	967347	1083	-		360	moaA	Molybdenum cofactor biosynthesis protein MoaA				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0971	Rv0870c	PATRIC	CDS	967344	967733	390	-		129		FIG020413: transmembrane protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0972	Rv0871	PATRIC	CDS	967898	968305	408	+		135	cspB	Cold shock protein CspC				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0973	Rv0872c	PATRIC	CDS	968424	970244	1821	-		606	PE_PGRS15	PE-PGRS virulence associated protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0974		PATRIC	CDS	970325	970474	150	-		49		FIG00820940: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0975	Rv0873	PATRIC	CDS	970505	972457	1953	+		650	fadE10	Acyl-CoA dehydrogenase, short-chain specific (EC 1.3.99.2)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0976	Rv0874c	PATRIC	CDS	972546	973706	1161	-		386		FIG00822946: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0977	Rv0875c	PATRIC	CDS	973806	974294	489	-		162		POSSIBLE CONSERVED EXPORTED PROTEIN				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0978	Rv0876c	PATRIC	CDS	974291	975937	1647	-		548		possible membrane protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0979	Rv0877	PATRIC	CDS	976102	976863	762	+		253		FIG00821400: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0980	Rv0878c	PATRIC	CDS	976872	978206	1335	-		444	PPE13	PPE family protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0981	Rv0879c	PATRIC	CDS	978481	978756	276	-		91		POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0982	Rv0880	PATRIC	CDS	978934	979365	432	+		143		Transcriptional regulator, MarR family				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0983	Rv0881	PATRIC	CDS	979362	980228	867	+		288		putative rRNA methylase				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0984	Rv0882	PATRIC	CDS	980225	980509	285	+		94		PROBABLE TRANSMEMBRANE PROTEIN				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0985	Rv0883c	PATRIC	CDS	980506	981267	762	-		253		FIG00996668: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0986	Rv0884c	PATRIC	CDS	981424	982554	1131	-		376	serC	Phosphoserine aminotransferase (EC 2.6.1.52)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0987	Rv0885	PATRIC	CDS	982801	983784	984	+		327		possible transmembrane protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0988	Rv0886	PATRIC	CDS	983863	985530	1668	+		555	fprB	Ferredoxin / Ferredoxin--NADP(+) reductase, actinobacterial (eukaryote-like) type (EC 1.18.1.2)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0989	Rv0887c	PATRIC	CDS	985513	985971	459	-		152		Glyoxalase family protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0990		PATRIC	CDS	986674	986823	150	+		49		FIG00821835: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0991	Rv0888	PATRIC	CDS	987203	988705	1503	+		500		PROBABLE EXPORTED PROTEIN				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0992	Rv0889c	PATRIC	CDS	988740	989861	1122	-		373	citA	Citrate synthase (si) (EC 2.3.3.1)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0993	Rv0890c	PATRIC	CDS	989948	992566	2619	-		872		Disease resistance domain-containing protein / Transcriptional regulator, LuxR family				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0994	Rv0891c	PATRIC	CDS	992598	993203	606	-		201		Adenylyl cyclase class-3/4/guanylyl cyclase				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0995	Rv0892	PATRIC	CDS	993853	995340	1488	+		495		Cyclohexanone monooxygenase (EC 1.14.13.22)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0996	Rv0893c	PATRIC	CDS	995318	996295	978	-		325		O-Methyltransferase involved in polyketide biosynthesis				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0997	Rv0894	PATRIC	CDS	996524	997705	1182	+		393		Disease resistance domain-containing protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0998	Rv0895	PATRIC	CDS	997863	999299	1437	+		478		Wax ester synthase/acyl-CoA:diacylglycerol acyltransferase				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0999	Rv0896	PATRIC	CDS	999472	1000767	1296	+		431	gltA	Citrate synthase (si) (EC 2.3.3.1)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_1000	Rv0897c	PATRIC	CDS	1000808	1002415	1608	-		535		Beta-carotene ketolase (EC 1.14.-.-)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_1001	Rv0898c	PATRIC	CDS	1002441	1002704	264	-		87		FIG00821893: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_1002	Rv0899	PATRIC	CDS	1002917	1003792	876	+		291	ompA	Outer membrane protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_1003	Rv0900	PATRIC	CDS	1003805	1003957	153	+		50		POSSIBLE MEMBRANE PROTEIN				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_1004	Rv0901	PATRIC	CDS	1003957	1004484	528	+		175		POSSIBLE CONSERVED EXPORTED OR MEMBRANE PROTEIN				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_1005	Rv0902c	PATRIC	CDS	1004501	1005841	1341	-		446	prrB	Sensor-type histidine kinase prrB (EC 2.7.13.3)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_1006	Rv0903c	PATRIC	CDS	1005852	1006562	711	-		236	prrA	DNA-binding response regulator				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_1007	Rv0904c	PATRIC	CDS	1006693	1008180	1488	-		495	accD3	Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2) / Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_1008	Rv0905	PATRIC	CDS	1008207	1008938	732	+		243	echA6	Enoyl-CoA hydratase (EC 4.2.1.17)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_1009	Rv0906	PATRIC	CDS	1008944	1010062	1119	+		372		Outer membrane protein romA				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_1010		PATRIC	CDS	1010047	1010346	300	+		99		Beta-lactamase (EC 3.5.2.6)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_1011	Rv0907	PATRIC	CDS	1010313	1011734	1422	+		473		Beta-lactamase (EC 3.5.2.6)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_1012	Rv0908	PATRIC	CDS	1011731	1014124	2394	+		797	ctpE	Cation-transporting ATPase, E1-E2 family				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_1013		PATRIC	CDS	1014400	1014555	156	+		51		FIG00820576: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_1014	Rv0909	PATRIC	CDS	1014681	1014860	180	+		59		FIG00821394: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_1015	Rv0910	PATRIC	CDS	1014866	1015300	435	+		144		FIG00820677: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_1016	Rv0911	PATRIC	CDS	1015398	1016171	774	+		257		Putative hydroxylase				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_1017	Rv0912	PATRIC	CDS	1016266	1016685	420	+		139		PROBABLE CONSERVED TRANSMEMBRANE PROTEIN				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_1018		PATRIC	CDS	1016820	1017050	231	-		76		FIG00823217: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_1019	Rv0913c	PATRIC	CDS	1017217	1018725	1509	-		502		Lignostilbene-alpha,beta-dioxygenase and related enzymes				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_1020	Rv0914c	PATRIC	CDS	1018727	1019965	1239	-		412		3-ketoacyl-CoA thiolase (EC 2.3.1.16)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_1021	Rv0915c	PATRIC	CDS	1020058	1021329	1272	-		423	PPE14	PPE family protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_1022	Rv0916c	PATRIC	CDS	1021344	1021505	162	-		53	PE7	PE family protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_1023	Rv0917	PATRIC	CDS	1022087	1023868	1782	+		593	betP	High-affinity choline uptake protein BetT				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_1024		PATRIC	CDS	1023868	1024122	255	+		84		FIG00821313: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_1025	Rv0918	PATRIC	CDS	1024400	1024687	288	+		95		FIG032766: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_1026	Rv0919	PATRIC	CDS	1024684	1025184	501	+		166		GCN5-related N-acetyltransferase; Histone acetyltransferase HPA2 and related acetyltransferases				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_1027		PATRIC	CDS	1025170	1025316	147	-		48		FIG00820368: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_1028	Rv0920c	PATRIC	CDS	1025497	1026816	1320	-		439		Probable transposase for the insertion element IS2606				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_1029	Rv0921	PATRIC	CDS	1027137	1027685	549	+		182		POSSIBLE RESOLVASE				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_1030	Rv0922	PATRIC	CDS	1027697	1029337	1641	+		546		Transposase				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_1031	Rv0923c	PATRIC	CDS	1029513	1030577	1065	-		354		FIG00823130: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_1032	Rv0924c	PATRIC	CDS	1030578	1031864	1287	-		428	mntH	Manganese transport protein MntH				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_1033	Rv0925c	PATRIC	CDS	1031896	1032633	738	-		245		BRAMP				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_1034	Rv0926c	PATRIC	CDS	1032710	1033786	1077	-		358		FIG00820002: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_1035	Rv0927c	PATRIC	CDS	1033840	1034631	792	-		263		7-alpha-hydroxysteroid dehydrogenase (EC 1.1.1.159)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_1036	Rv0928	PATRIC	CDS	1035089	1036015	927	+		308	pstS3	Phosphate ABC transporter, periplasmic phosphate-binding protein PstS (TC 3.A.1.7.1)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_1037	Rv0929	PATRIC	CDS	1036028	1037002	975	+		324	pstC2	Phosphate transport system permease protein PstC (TC 3.A.1.7.1)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_1038	Rv0930	PATRIC	CDS	1036999	1037925	927	+		308	pstA1	Phosphate transport system permease protein PstA (TC 3.A.1.7.1)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_1039	Rv0931c	PATRIC	CDS	1037920	1039914	1995	-		664	pknD	Serine/threonine-protein kinase pknD (EC 2.7.11.1)				
